cleaned_text,label
question about cancelling order unk_placeholder,0
i have a question about cancelling oorder unk_placeholder,0
i need help cancelling puchase unk_placeholder,0
i need to cancel purchase unk_placeholder,0
i cannot afford this order cancel purchase unk_placeholder,0
can you help me cancel order unk_placeholder,0
i can no longer afford order unk_placeholder cancel it,0
i am trying to cancel purchase unk_placeholder,0
i have got to cancel purchase unk_placeholder,0
i need help canceling purchase unk_placeholder,0
i dont know what to do to cancel order unk_placeholder,0
i have a problem with cancelling purchase unk_placeholder,0
problem with canceling purchase unk_placeholder,0
can you help me canceling order unk_placeholder,0
help me canceling purchase unk_placeholder,0
can you help me cancel purchase unk_placeholder,0
what do i have to do to cancel purchase unk_placeholder,0
i bought the same item twice cancel order unk_placeholder,0
need help with canceling order unk_placeholder,0
i want assistance canceling order unk_placeholder,0
im trying to cancel order unk_placeholder,0
i have problems with canceling order unk_placeholder,0
assistance with cancelling pucrhase unk_placeholder,0
need help with canceling purchase unk_placeholder,0
help cnceling order unk_placeholder,0
i want assistance cancelling order unk_placeholder,0
need assistance cancelling order unk_placeholder,0
problem with cancelling order unk_placeholder,0
assistnace cancelling order unk_placeholder,0
have a problem with canceling order unk_placeholder,0
i need help with canceling purchase unk_placeholder,0
assistance with cancelling pucrhase unk_placeholder,0
want assistance to cancel order unk_placeholder,0
i do not know how i can cancel purchase unk_placeholder,0
need assistance to cancel order unk_placeholder,0
can you help me cancel purchase unk_placeholder,0
i can no longer afford purchase unk_placeholder,0
i need assistance canceling purchase unk_placeholder,0
i would like to cancel purchase unk_placeholder,0
i do not want these article i try to cancel order unk_placeholder,0
i need help to cancel purchase unk_placeholder,0
i have got to cancel purchase unk_placeholder,0
problems with cancelling order unk_placeholder,0
i need help canceling purchase unk_placeholder,0
assistance canceling purchase unk_placeholder,0
could ya help me cancel order unk_placeholder,0
could you help me cancelling order unk_placeholder,0
cance order unk_placeholder,0
assistance cancelling purchase unk_placeholder,0
assistance with canceling purchase unk_placeholder,0
canceling order unk_placeholder,0
how to cancel order unk_placeholder,0
help me cancelling purchase unk_placeholder,0
have a question about cancelling order unk_placeholder,0
i cant afford purchase unk_placeholder,0
assistance with canceling purchase unk_placeholder,0
i ordered some item cancel purchase unk_placeholder,0
i need help cancelling order unk_placeholder,0
i cant afford order unk_placeholder help me cancelling it,0
i do not know how i can cancel purchase unk_placeholder,0
i try to cancel purchase unk_placeholder,0
problem with cancelling order unk_placeholder,0
i cannot pay for the last purchase i have made cancel it,0
help me cancelling purchase unk_placeholder,0
could you help me cancel purchase unk_placeholder,0
i want to cancle purchase unk_placeholder,0
help me to cancel my last goddamn purchase,0
i have a problem witrh cancelling purchase unk_placeholder,0
can uhelp me canceling order unk_placeholder,0
problems with canceling purchase unk_placeholder,0
i need assistancde cancelling order unk_placeholder,0
i bought some item cancel order unk_placeholder,0
need help with cancelling order unk_placeholder,0
i cant pay for this item can i cancel order unk_placeholder,0
i need help cacneling order unk_placeholder,0
where could i cancel purchase unk_placeholder,0
i bought some damn item help to cancep order unk_placeholder,0
want assistance to cancel order unk_placeholder,0
i have got to cancel purchase unk_placeholder help me,0
whag do i need to do to cancel order unk_placeholder,0
i want assistance canceling order unk_placeholder,0
i can no longer afford purchase unk_placeholder,0
i want assistance to cancel purchase unk_placeholder,0
cancelling order,0
i want help cancelling purchase unk_placeholder,0
what do i have to do to cancel order unk_placeholder,0
can you help me to cancel purchase unk_placeholder,0
i need help cancelling order unk_placeholder,0
i do not know how i can cancel purchase unk_placeholder,0
i want help to cancel purchase unk_placeholder,0
how do i cancel order unk_placeholder,0
i bought some articles help me to cancel order unk_placeholder,0
need assistance cancelling order unk_placeholder,0
where to cancel purchase unk_placeholder,0
i want help canceling order unk_placeholder,0
i want help cancellkng purchase unk_placeholder,0
i need help with cancelling order unk_placeholder,0
i want assistance to cancel order unk_placeholder,0
i want assistance to cancel order unk_placeholder,0
need assistance cancelling purchase unk_placeholder,0
where can i cancel order unk_placeholder,0
have problems with canceling order unk_placeholder,0
where can i cancel order unk_placeholder,0
i can no longer pay for order unk_placeholder,0
i cant afford purchase unk_placeholder,0
i would like to cancel purchase unk_placeholder i need help,0
i do not know how to cancel order unk_placeholder,0
help with cancelling purchase unk_placeholder,0
i want help cancelling purchase unk_placeholder,0
